season,game_date,Team,opponent,Result,point_differential,Team_Elo_Rating
2021,2021-09-25,Tulsa,Arkansas State,W,7,1406.1841595852907
2021,2021-09-25,UAB,Tulane,W,7,1551.1622717340474
2021,2021-09-25,UCLA,Stanford,W,11,1529.44138550818
2021,2021-09-25,UL Monroe,Troy,W,13,1543.6805753134734
2021,2021-09-25,USC,Oregon State,L,-18,1513.4453874815308
2021,2021-09-25,UTEP,New Mexico,W,7,1452.9327336941913
2021,2021-09-25,UTSA,Memphis,W,3,1602.0223787292482
2021,2021-09-25,Uconn,Wyoming,L,-2,1408.7427382548829
2021,2021-09-25,Utah,Washington State,W,11,1474.3525042398815
2021,2021-09-25,Utah State,Boise State,L,-24,1508.375156044417
2021,2021-09-25,Vanderbilt,Georgia,L,-62,1452.9985175666056
2021,2021-09-25,Washington,California,W,7,1537.2358326223512
2021,2021-09-25,Washington State,Utah,L,-11,1368.9326888780931
2021,2021-09-25,West Virginia,Oklahoma,L,-3,1544.9360639269585
2021,2021-09-25,Western Kentucky,Indiana,L,-2,1440.8513139219913
2021,2021-09-25,Wisconsin,Notre Dame,L,-28,1537.7643615476243
2021,2021-09-30,Miami,Virginia,L,-2,1384.9282553904845
2021,2021-09-30,Virginia,Miami,W,2,1418.8990753014336
2021,2021-10-01,BYU,Utah State,W,14,1687.91338123945
2021,2021-10-01,Houston,Tulsa,W,35,1638.2014380039102
2021,2021-10-01,Iowa,Maryland,W,37,1701.966188898189
2021,2021-10-01,Maryland,Iowa,L,-37,1517.720299831356
2021,2021-10-01,Tulsa,Houston,L,-35,1386.6827555278694
2021,2021-10-01,Utah State,BYU,L,-14,1456.0311510578074
2021,2021-10-02,Air Force,New Mexico,W,28,1655.4142180588954
2021,2021-10-02,Akron,Ohio,L,-17,1281.370246510391
2021,2021-10-02,Alabama,Ole Miss,W,21,1622.3597748314112
2021,2021-10-02,Arizona State,UCLA,W,19,1613.8996647161518
2021,2021-10-02,Arkansas,Georgia,L,-37,1679.7397764111615
2021,2021-10-02,Arkansas State,Georgia Southern,L,-26,1262.9585681550564
2021,2021-10-02,Army,Ball State,L,-12,1516.0966400821212
2021,2021-10-02,Auburn,LSU,W,5,1550.4064340202347
2021,2021-10-02,Ball State,Army,W,12,1344.9221129523808
2021,2021-10-02,Baylor,Oklahoma State,L,-10,1565.6703556936768
2021,2021-10-02,Boise State,Nevada,L,-10,1549.4990010298523
2021,2021-10-02,Boston College,Clemson,L,-6,1610.20293317124
2021,2021-10-02,Bowling Green,Kent State,L,-7,1479.874793207549
2021,2021-10-02,Buffalo,Western Michigan,L,-7,1391.554624959284
2021,2021-10-02,California,Washington State,L,-15,1327.3614935602059
2021,2021-10-02,Central Michigan,Miami (OH),L,-11,1393.5019505032278
2021,2021-10-02,Charlotte,Illinois,L,-10,1405.8731556816265
2021,2021-10-02,Cincinnati,Notre Dame,W,11,1660.0461897419736
2021,2021-10-02,Clemson,Boston College,W,6,1560.6398910842743
2021,2021-10-02,Coastal Carolina,UL Monroe,W,53,1705.2094506848
2021,2021-10-02,Colorado,USC,L,-23,1297.3299486603044
2021,2021-10-02,Duke,North Carolina,L,-31,1497.5883108781156
2021,2021-10-02,East Carolina,Tulane,W,23,1558.3142908567925
2021,2021-10-02,Eastern Michigan,Northern Illinois,L,-7,1508.9791879786185
2021,2021-10-02,Florida,Kentucky,L,-7,1566.063066219311
2021,2021-10-02,Florida Atlantic,Florida International,W,37,1514.2032315198737
2021,2021-10-02,Florida International,Florida Atlantic,L,-37,1281.5420452219673
2021,2021-10-02,Florida State,Syracuse,W,3,1400.470131052358
2021,2021-10-02,Fresno State,Hawai'i,L,-3,1495.329983137002
2021,2021-10-02,Georgia,Arkansas,W,37,1817.8126147588937
2021,2021-10-02,Georgia Southern,Arkansas State,W,26,1424.866787967243
2021,2021-10-02,Georgia Tech,Pittsburgh,L,-31,1470.355339016905
2021,2021-10-02,Hawai'i,Fresno State,W,3,1503.5805163485654
2021,2021-10-02,Illinois,Charlotte,W,10,1420.4101271654424
2021,2021-10-02,Indiana,Penn State,L,-24,1409.965548275703
2021,2021-10-02,Iowa State,Kansas,W,52,1536.2795199506859
2021,2021-10-02,Kansas,Iowa State,L,-52,1299.580165503825
2021,2021-10-02,Kansas State,Oklahoma,L,-6,1517.3746911014566
2021,2021-10-02,Kent State,Bowling Green,W,7,1450.468584817202
2021,2021-10-02,Kentucky,Florida,W,7,1668.3752610117604
2021,2021-10-02,LSU,Auburn,L,-5,1487.1497316927926
2021,2021-10-02,Liberty,UAB,W,24,1651.4274759095279
2021,2021-10-02,Louisiana,South Alabama,W,2,1633.1712070509668
2021,2021-10-02,Louisiana Tech,NC State,L,-7,1486.123376920082
2021,2021-10-02,Louisville,Wake Forest,L,-3,1533.7234980338883
2021,2021-10-02,Marshall,Middle Tennessee,L,-6,1379.0347800051923
2021,2021-10-02,Massachusetts,Toledo,L,-38,1259.8562564271242
2021,2021-10-02,Memphis,Temple,L,-3,1496.2719866452014
2021,2021-10-02,Miami (OH),Central Michigan,W,11,1479.4816924991217
2021,2021-10-02,Michigan,Wisconsin,W,21,1700.5271300620432
2021,2021-10-02,Michigan State,Western Kentucky,W,17,1630.5750687088346
2021,2021-10-02,Middle Tennessee,Marshall,W,6,1374.9117960433293
2021,2021-10-02,Minnesota,Purdue,W,7,1600.2270922070297
2021,2021-10-02,Mississippi State,Texas A&M,W,4,1526.6967897140928
2021,2021-10-02,Missouri,Tennessee,L,-38,1331.3296323728732
2021,2021-10-02,NC State,Louisville,W,3,1591.7115188344
2021,2021-10-02,Navy,UCF,W,4,1442.5594450605026
2021,2021-10-02,Nebraska,Northwestern,W,49,1572.4908163355212
2021,2021-10-02,Nevada,Boise State,W,10,1487.661190562389
2021,2021-10-02,New Mexico,Air Force,L,-28,1381.879140898625
2021,2021-10-02,North Carolina,Duke,W,31,1595.2729533655558
2021,2021-10-02,Northern Illinois,Eastern Michigan,W,7,1429.86332453595
2021,2021-10-02,Northwestern,Nebraska,L,-49,1465.7374096863634
2021,2021-10-02,Notre Dame,Cincinnati,L,-11,1635.0380625659618
2021,2021-10-02,Ohio,Akron,W,17,1387.6553828189744
2021,2021-10-02,Ohio State,Rutgers,W,39,1664.8233907870467
2021,2021-10-02,Oklahoma,Kansas State,W,6,1636.5858166551482
2021,2021-10-02,Oklahoma State,Baylor,W,10,1697.5048070420028
2021,2021-10-02,Old Dominion,UTEP,L,-7,1384.5495726372649
2021,2021-10-02,Ole Miss,Alabama,L,-21,1500.3288665072132
2021,2021-10-02,Oregon,Stanford,L,-7,1595.1106769388775
2021,2021-10-02,Oregon State,Washington,W,3,1665.6908042257612
2021,2021-10-02,Penn State,Indiana,W,24,1612.5621063470633
2021,2021-10-02,Pittsburgh,Georgia Tech,W,31,1567.0112031088545
2021,2021-10-02,Purdue,Minnesota,L,-7,1473.8447896221062
2021,2021-10-02,Rice,Southern Miss,W,5,1368.1516136296766
2021,2021-10-02,Rutgers,Ohio State,L,-39,1483.8401702961976
